dataset,model_type,checkpoint,model_id,pretrained_on,num_train_samples,epochs,accuracy,precision,recall,f1
pamap2,linear_probe,limu_bert_distilbert_distilbert_base_uncased_pamap2_best.pt,distilbert/distilbert-base-uncased,pamap2,100,50,0.7947,0.8249,0.7795,0.7948
pamap2,linear_probe,limu_bert_distilbert_distilbert_base_uncased_pamap2_best.pt,distilbert/distilbert-base-uncased,pamap2,100,50,0.7918,0.828,0.7665,0.7849
pamap2,linear_probe,limu_bert_microsoft_swinv2_tiny_patch4_window8_256_pamap2_best.pt,microsoft/swinv2-tiny-patch4-window8-256,pamap2,100,50,0.7545,0.7863,0.6983,0.7105
