dataset,model_type,checkpoint,model_id,pretrained_on,num_train_samples,epochs,accuracy,precision,recall,f1
pamap2,linear_probe,phymask_distilbert_distilbert_base_uncased_pamap2_best.pt,distilbert/distilbert-base-uncased,pamap2,100,50,0.7908,0.8316,0.7726,0.7893
pamap2,linear_probe,phymask_distilbert_distilbert_base_uncased_pamap2_best.pt,distilbert/distilbert-base-uncased,pamap2,100,50,0.8011,0.8362,0.7875,0.8037
pamap2,linear_probe,phymask_microsoft_swinv2_tiny_patch4_window8_256_pamap2_best.pt,microsoft/swinv2-tiny-patch4-window8-256,pamap2,100,50,0.7202,0.761,0.6767,0.6887
