dataset,model_type,checkpoint,model_id,pretrained_on,num_train_samples,epochs,accuracy,precision,recall,f1
hhar,linear_probe,ts2vec_distilbert_distilbert_base_uncased_hhar_best.pt,distilbert/distilbert-base-uncased,hhar,100,50,0.7393,0.7368,0.7205,0.7203
hhar,linear_probe,ts2vec_distilbert_distilbert_base_uncased_hhar_best.pt,distilbert/distilbert-base-uncased,hhar,100,50,0.7335,0.7347,0.7141,0.7149
hhar,linear_probe,ts2vec_microsoft_swinv2_tiny_patch4_window8_256_hhar_best.pt,microsoft/swinv2-tiny-patch4-window8-256,hhar,100,50,0.5775,0.585,0.5657,0.5673
